Auto close Opportunity Replied after the no. of days mentioned above,Oportunidade de estreita automática respondeu após o não. de dias mencionados acima
Auto match and set the Party in Bank Transactions,Matriz automática e defina a parte em transações bancárias
Auto re-order,Reordenar automaticamente
Auto repeat document updated,Documento de repetição automática atualizada
Auto write off precision loss while consolidation,Redução automática de perda de precisão durante a consolidação
Automatically Add Filtered Item To Cart,Adicione automaticamente o item filtrado ao carrinho
Automatically Add Taxes and Charges from Item Tax Template,Adicione automaticamente impostos e cobranças do modelo de imposto de itens
Automatically Create New Batch,Crie automaticamente um novo lote
Automatically Fetch Payment Terms from Order,Busque automaticamente as condições de pagamento do pedido
Automatically Process Deferred Accounting Entry,Processar a entrada contábil diferida automaticamente
Automatically post balancing accounting entry,Poste automaticamente o equilíbrio de entrada contábil
Availability Of Slots,Disponibilidade de slots
Available,Disponível
Available Batch Qty at From Warehouse,Qtdy de lote disponível em Warehouse
Available Batch Qty at Warehouse,Qty em lote disponível no armazém
Available Batch Report,Relatório em lote disponível
Available For Use Date,Disponível para data de uso
Available Qty,Qtdy disponível
Available Qty For Consumption,Qty disponível para consumo
Available Qty at Company,Qty disponível na empresa
Available Qty at Source Warehouse,Qtdy disponível no armazém de origem
Available Qty at Target Warehouse,Qtdy disponível no Target Warehouse
Available Qty at WIP Warehouse,Qty disponível no WIP Warehouse
Available Qty at Warehouse,Qty disponível no armazém
Available Qty to Reserve,Qty disponível para reservar
Available Quantity,Quantidade disponível
Available Serial No,Disponível serial no
Available Stock,Stock disponível
Available Stock for Packing Items,Stock disponível para itens de embalagem
Available for use date is required,Disponível para data de uso é necessário
"Available quantity is {0}, you need {1}","A quantidade disponível é {0}, você precisa {1}"
Available {0},Disponível {0}
Available-for-use Date,Data disponível para uso
Available-for-use Date should be after purchase date,A data disponível para uso deve ser após a data de compra
Average Age,Idade média
Average Commission Rate,Taxa média de comissão
Average Completion,Conclusão média
Average Discount,Desconto médio
Average Rate,Taxa média
Average Response Time,Tempo médio de resposta
Average time taken by the supplier to deliver,Tempo médio gasto pelo fornecedor para entregar
Avg Daily Outgoing,AVG diariamente extrovertido
Avg Rate,Taxa de AVG
Avg Rate (Balance Stock),Taxa AVG (Balance Stock)
Avg. Buying Price List Rate,Avg. Taxa de lista de preços de compra
Avg. Selling Price List Rate,Avg. Taxa de lista de preços de venda
Avg. Selling Rate,Avg. Taxa de venda
B+,B+
B-,B-
BFS,BFS
BIN Qty,Bin Qtty
BOM,Bom
BOM 1,Bom 1
BOM 1 {0} and BOM 2 {1} should not be same,Bom 1 {0} e Bom 2 {1} não devem ser iguais
BOM 2,Bom 2
BOM Comparison Tool,Ferramenta de comparação BOM
BOM Created,Bom criado
BOM Creator,BOM Creator
BOM Creator Item,Bom Creator Item
BOM Detail No,Detalhe nas bombas no
BOM Explorer,BOM Explorer
BOM Explosion Item,Item de explosão Bom
BOM ID,BOM ID
BOM Info,BOM Info
BOM Item,BOM Item
BOM Level,BOM Level
BOM No,BOM No
BOM No (For Semi-Finished Goods),Bom no (para produtos semi-acabados)
BOM No. for a Finished Good Item,Bom No. para um bom item acabado
BOM Operation,Operação BOM
BOM Operations Time,Tempo de operações nascentes
BOM Qty,Bom Qtty
BOM Rate,BOM Rate
BOM Scrap Item,Bom Scrap Item
BOM Search,Pesquisa BOM
BOM Stock Calculated,Bom Stock calculado
BOM Stock Report,Relatório da Bom Stock
BOM Tree,Bom Árvore
BOM UoM,BOM UoM
BOM Update Batch,Bom atualização em lote
BOM Update Initiated,Atualização BOM iniciada
BOM Update Log,Log de atualização do BOM
BOM Update Tool,Ferramenta de atualização do BOM
BOM Update Tool Log with job status maintained,Log da ferramenta de atualização do BOM com o status do trabalho mantido
BOM Updation already in progress. Please wait until {0} is complete.,"Atualização do BOM já em andamento. Por favor, aguarde até {0} estar concluído."
BOM Updation is queued and may take a few minutes. Check {0} for progress.,A atualização do BOM está na fila e pode levar alguns minutos. Verifique {0} para progresso.
BOM Variance Report,Relatório de variação da BOM
BOM Website Item,Bom Site Item
BOM Website Operation,Operação do site da BOM
BOM and Manufacturing Quantity are required,Bom e a quantidade de fabricação são necessárias
BOM and Production,Bom e produção
BOM does not contain any stock item,BOM não contém nenhum item de stock
BOM recursion: {0} cannot be child of {1},Recursão BOM: {0} não pode ser filho de {1}
BOM recursion: {1} cannot be parent or child of {0},Recursão BOM: {1} não pode ser pai ou filho de {0}
BOM {0} does not belong to Item {1},Bom {0} não pertence ao item {1}
BOM {0} must be active,Bom {0} deve estar ativo
BOM {0} must be submitted,Bom {0} deve ser enviado
BOM {0} not found for the item {1},Bom {0} não encontrado para o item {1}
BOMs Updated,BOMs atualizados
BOMs created successfully,BOMS criado com sucesso
BOMs creation failed,A criação do BOMS falhou
"BOMs creation has been enqueued, kindly check the status after some time","A criação do BOMS foi envolvida, verifique o status depois de algum tempo"
Backdated Stock Entry,Entrada de stock com atraso
Backflush Materials From WIP Warehouse,Materiais de backflush do wip warehouse
Backflush Raw Materials,Matérias -primas backflush
Backflush Raw Materials Based On,Matérias -primas backflush com base em
Backflush Raw Materials From Work-in-Progress Warehouse,Matérias-primas backflush do armazém de trabalho em andamento
Backflush Raw Materials of Subcontract Based On,Backflush Matérias -primas de subcontrato com base em
Balance,Equilíbrio
Balance (Dr - Cr),Balance (DR - CR)
Balance ({0}),Balance ({0})
Balance In Account Currency,Saldo na moeda da conta
Balance In Base Currency,Balança na moeda base
Balance Qty,Balance Qtd
Balance Qty (Stock),Balance Qty (stock)
Balance Serial No,Equilibre serial no
Balance Sheet,Balanço patrimonial
Balance Sheet Summary,Resumo do balanço
Balance Stock Qty,Balance de equilíbrio
Balance Stock Value,Valor do stock do equilíbrio
Balance Value,Valor do equilíbrio
Balance for Account {0} must always be {1},O saldo da conta {0} deve sempre ser {1}
Balance must be,O equilíbrio deve ser
Bank,Banco
Bank / Cash Account,Banco / conta em dinheiro
Bank A/C No.,Banco A/C Não.
Bank Account,Conta bancária
Bank Account Details,Detalhes da conta bancária
Bank Account Info,Informações da conta bancária
Bank Account No,Conta bancária não
Bank Account Subtype,Subtipo de conta bancária
Bank Account Type,Tipo de conta bancária
Bank Account {} in Bank Transaction {} is not matching with Bank Account {},Conta bancária {} na transação bancária {} não está correspondendo à conta bancária {}
Bank Accounts,Contas bancárias
Bank Balance,Saldo bancário
Bank Charges,Cobranças bancárias
Bank Charges Account,Conta de cobranças bancárias
Bank Clearance,Autorização bancária
Bank Clearance Detail,Detalhes de folga do banco
Bank Clearance Summary,Resumo da liberação bancária
Bank Credit Balance,Saldo de crédito bancário
Bank Details,Detalhes do banco
Bank Draft,Rascunho do banco
Bank Entry,Entrada bancária
Bank Guarantee,Garantia bancária
Bank Guarantee Number,Número de garantia bancária
Bank Guarantee Type,Tipo de garantia bancária
Bank Name,Nome do banco
Bank Overdraft Account,Conta de cheque especial bancário
Bank Reconciliation Statement,Declaração de reconciliação bancária
Bank Reconciliation Tool,Ferramenta de reconciliação bancária
Bank Statement Import,Importação do extrato bancário
Bank Statement balance as per General Ledger,"Saldo do extrato bancário, conforme o Ledger Geral"
Bank Transaction,Transação bancária
Bank Transaction Mapping,Mapeamento de transações bancárias
Bank Transaction Payments,Pagamentos de transações bancárias
Bank Transaction {0} Matched,Transação bancária {0} correspondente
Bank Transaction {0} added as Journal Entry,Transação bancária {0} adicionada como entrada do diário
Bank Transaction {0} added as Payment Entry,Transação bancária {0} adicionada como entrada de pagamento
Bank Transaction {0} is already fully reconciled,Transação bancária {0} já está totalmente reconciliada
Bank Transaction {0} updated,Transação bancária {0} atualizada
Bank account cannot be named as {0},A conta bancária não pode ser nomeada como {0}
Bank account {0} already exists and could not be created again,Conta bancária {0} já existe e não pôde ser criada novamente
Bank accounts added,Contas bancárias adicionadas
Bank transaction creation error,Erro de criação de transação bancária
Bank/Cash Account,Banco/conta em dinheiro
Bank/Cash Account {0} doesn't belong to company {1},Banco/conta em dinheiro {0} não pertence à empresa {1}
Banking,Bancário
Barcode,Código de barras
Barcode Type,Tipo de código de barras
Barcode {0} already used in Item {1},Código de barras {0} já usado no item {1}
Barcode {0} is not a valid {1} code,Código de barras {0} não é um código {1} válido
Barcodes,Códigos de barras
Base Amount,Quantidade base
Base Amount (Company Currency),Valor base (moeda da empresa)
Base Change Amount (Company Currency),Valor da mudança básica (moeda da empresa)
Base Cost Per Unit,Custo base por unidade
Base Hour Rate(Company Currency),Taxa de hora base (moeda da empresa)
Base Rate,Taxa básica
Base Tax Withholding Net Total,Total líquido de retenção de impostos básicos
Base Total,Total de base
Base Total Billable Amount,Valor total de faturamento básico
Base Total Billed Amount,Valor total de faturamento básico
Base Total Costing Amount,Valor de custo total de base
Base URL,URL base
Based On,Baseado em
Based On Data ( in years ),Com base em dados (em anos)
Based On Document,Com base no documento
Based On Payment Terms,Com base em condições de pagamento
Based On Price List,Com base na lista de preços
Based On Value,Com base no valor
"Based on your HR Policy, select your leave allocation period's end date","Com base na sua política de RH, selecione a data final do período de alocação de licença"
"Based on your HR Policy, select your leave allocation period's start date","Com base na sua política de RH, selecione a data de início do período de alocação de licença"
Basic Amount,Quantidade básica
Basic Amount (Company Currency),Valor básico (moeda da empresa)
Basic Rate (Company Currency),Taxa básica (moeda da empresa)
Basic Rate (as per Stock UOM),Taxa básica (conforme o stock UOM)
Batch,Lote
Batch Description,Descrição do lote
Batch Details,Detalhes do lote
Batch Expiry Date,Data de expiração em lote
Batch ID,ID do lote
Batch ID is mandatory,O ID do lote é obrigatório
Batch Item Expiry Status,Status de validade do item em lote
Batch No,Lote não
Batch No is mandatory,Lote não é obrigatório
Batch No {0} does not exists,Lote no {0} não existe
Batch No {0} is linked with Item {1} which has serial no. Please scan serial no instead.,"O lote não {0} está vinculado ao item {1} que possui serial no. Por favor, digitalize serial não."
"Batch No {0} is not present in the original {1} {2}, hence you can't return it against the {1} {2}","O lote não {0} não está presente no original {1} {2}, portanto, você não pode devolvê -lo contra o {1} {2}"
Batch No.,Lote No.
Batch Nos,Lote nos
Batch Nos are created successfully,O lote NOS é criado com sucesso
Batch Not Available for Return,Lote não disponível para devolução
Batch Number Series,Série de números em lote
Batch Qty,Qty em lote
Batch Quantity,Quantidade de lote
Batch Size,Tamanho do lote
Batch UOM,Lote uom
Batch and Serial No,Lote e serial não
Batch not created for item {} since it does not have a batch series.,"O lote não é criado para o item {}, pois não possui uma série em lote."
Batch {0} and Warehouse,Lote {0} e armazém
Batch {0} is not available in warehouse {1},O lote {0} não está disponível no armazém {1}
Batch {0} of Item {1} has expired.,O lote {0} do item {1} expirou.
Batch {0} of Item {1} is disabled.,O lote {0} do item {1} está desativado.
Batch-Wise Balance History,Histórico de equilíbrio em lote
Batchwise Valuation,Avaliação no sentido do sentido
Before reconciliation,Antes da reconciliação
Begin On (Days),Comece (dias)
Beginning of the current subscription period,Início do período atual de assinatura
Below Subscription Plans are of different currency to the party default billing currency/Company currency: {0},Os planos de assinatura abaixo são de moeda diferente da moeda de cobrança/empresa de cobrança/empresa da parte: {0}
Bill Date,Data da fatura
Bill No,Bill não
Bill for Rejected Quantity in Purchase Invoice,Bill por quantidade rejeitada na fatura de compra
Bill of Materials,Estrutura de produto
Billed,Cobrado
Billed Amount,Valor faturado
Billed Amt,AMT cobrado
Billed Items To Be Received,Itens faturados a serem recebidos
Billed Qty,Qty faturado
"Billed, Received & Returned","Cobrado, recebido e devolvido"
Billing Address,Endereço de Cobrança
Billing Address Details,Detalhes do endereço de cobrança
Billing Address Name,Nome do endereço de cobrança
Billing Address does not belong to the {0},O endereço de cobrança não pertence ao {0}
Billing Amount,Valor de cobrança
Billing City,Cidade do faturamento
Billing Country,País de cobrança
Billing County,Condado de Billing
Billing Currency,Moeda de cobrança
Billing Date,Data de cobrança
Billing Details,Detalhes de cobrança
Billing Email,Email de cobrança
Billing Hours,Horário de cobrança
Billing Interval,Intervalo de cobrança
Billing Interval Count,Contagem de intervalos de cobrança
Billing Interval Count cannot be less than 1,A contagem de intervalos de cobrança não pode ser menor que 1
Billing Interval in Subscription Plan must be Month to follow calendar months,O intervalo de cobrança no plano de assinatura deve ser o mês para seguir os meses do calendário
Billing Rate,Taxa de cobrança
Billing State,Estado de cobrança
Billing Status,Status de cobrança
Billing Zipcode,Código ZIP de cobrança
Billing currency must be equal to either default company's currency or party account currency,A moeda de cobrança deve ser igual à moeda da empresa padrão ou da moeda da conta da parte
Bin,BIN
Bin Qty Recalculated,Bin Qty recalculado
Bio / Cover Letter,Bio / carta de apresentação
Bisect Accounting Statements,Declarações contábeis Bisect
Bisect Left,Bisect esquerdo
Bisect Nodes,Nós bissect
Bisect Right,Bisect certo
Bisecting From,Bissecting de
Bisecting Left ...,Esquerctando a esquerda ...
Bisecting Right ...,BISECTING DIREITO ...
Bisecting To,BISECTING para
Black,Preto
Blanket Order,Ordem geral
Blanket Order Allowance (%),Subsídio de pedido geral (%)
Blanket Order Item,Item de pedido geral
Blanket Order Rate,Taxa de pedidos gerais
Block Invoice,Bloquear a fatura
Block Supplier,Bloco fornecedor
Blog Subscriber,Assinante do blog
Blood Group,Grupo sanguíneo
Blue,Azul
Body,Corpo
Body Text,Texto corporal
Body and Closing Text Help,Ajuda do corpo e de fechamento de texto
Bom No,Bom No
Book Advance Payments as Liability option is chosen. Paid From account changed from {0} to {1}.,Reserve os pagamentos antecipados como opção de responsabilidade é escolhida. Pago da conta alterada de {0} para {1}.
Book Advance Payments in Separate Party Account,Reserve pagamentos antecipados em conta de parte separada
Book Appointment,Nomeação do livro
Book Asset Depreciation Entry Automatically,Reserva a entrada de depreciação de ativos automaticamente
Book Deferred Entries Based On,Entradas diferidas de livro com base em
Book Deferred Entries Via Journal Entry,Entradas diferidas de livro via diário de entrada
Book Tax Loss on Early Payment Discount,Livro de perda de imposto sobre desconto de pagamento antecipado
Book an appointment,Marque uma consulta
Booked,Reservado
Booked Fixed Asset,Ativo fixo reservado
Booking stock value across multiple accounts will make it harder to track stock and account value.,A reserva de valor das ações em várias contas dificultará a rastrear o valor das ações e da conta.
Books have been closed till the period ending on {0},Os livros foram fechados até o período que terminou em {0}
Both,Ambos
Both Payable Account: {0} and Advance Account: {1} must be of same currency for company: {2},Ambas a conta a pagar: {0} e a conta antecipada: {1} devem ser da mesma moeda para a empresa: {2}
Both Receivable Account: {0} and Advance Account: {1} must be of same currency for company: {2},Ambas as contas a receber: {0} e a conta antecipada: {1} devem ser da mesma moeda para a empresa: {2}
Both Trial Period Start Date and Trial Period End Date must be set,A data de início do período do período do teste e o período de término do período deve ser definido
Both {0} Account: {1} and Advance Account: {2} must be of same currency for company: {3},Ambos {0} conta: {1} e a conta avançada: {2} devem ser da mesma moeda para a empresa: {3}
Branch,Filial
Branch Code,Código da ramificação
Brand,Marca
Brand Defaults,Padrões de marca
Brand Name,Nome da marca
Breakdown,Discriminação
Browse BOM,Navegue nasceu
Btn Hailes,BTN HAILES
Budget,Orçamento
Budget Account,Conta orçamentária
Budget Accounts,Contas de orçamento
Budget Against,Orçamento contra
Budget Amount,Valor do orçamento
Budget Detail,Detalhes do orçamento
Budget Exceeded,Orçamento excedido
Budget List,Lista de orçamento
Budget Variance Report,Relatório de variação do orçamento
Budget cannot be assigned against Group Account {0},O orçamento não pode ser atribuído contra a conta do grupo {0}
"Budget cannot be assigned against {0}, as it's not an Income or Expense account","O orçamento não pode ser atribuído contra {0}, pois não é uma conta de receita ou despesa"
Budgets,Orçamentos
Buffered Cursor,Cursor em buffer
Build All?,Construir tudo?
Build Tree,Construir árvore
Buildable Qty,Qtdy construtável
Buildings,Edifícios
Bulk Rename Jobs,Renomear em massa empregos
Bulk Transaction,Transação a granel
Bulk Transaction Log,Log de transações em massa
Bulk Transaction Log Detail,Detalhes do log de transações em massa
Bundle Items,Itens de pacote
Bundle Qty,Qtdy de pacote
Busy,Ocupado
Buy,Comprar
Buyer of Goods and Services.,Comprador de bens e serviços.
Buying,Compras
Buying & Selling Settings,Compra e venda de configurações
Buying Amount,Valor de compra
Buying Price List,Lista de preços de compra
Buying Rate,Taxa de compra
Buying Settings,Configurações de compra
Buying and Selling,Compra e venda
"Buying must be checked, if Applicable For is selected as {0}","A compra deve ser verificada, se aplicável, é selecionado como {0}"
"By default, the Supplier Name is set as per the Supplier Name entered. If you want Suppliers to be named by a <a href='https://docs.erpnext.com/docs/user/manual/en/setting-up/settings/naming-series' target='_blank'>Naming Series</a> choose the 'Naming Series' option.","Por padrão, o nome do fornecedor é definido conforme o nome do fornecedor inserido. Se você deseja que os fornecedores sejam nomeados por <a href = 'https: //docs.erpnext.com/docs/user/manual/en/setting-up/settings/naming-series' Target = '_ Blank'> Naming Series </a> Escolha a opção 'Nomeing Series'."
Bypass Credit Limit Check at Sales Order,Itimparpin Credit Limit Check no pedido de vendas
Bypass credit check at Sales Order,Bypass Credit Check no pedido de vendas
CANCELLED,CANCELADO
CBAL-.#####,Cbal -. #####
CC,Cc
CC To,Cc para
CODE-39,Código-39
COGS By Item Group,Cogs por grupo de itens
COGS Debit,Débito de engrenagem
CRM,CRM
CRM Note,Nota do CRM
CRM Settings,Configurações de CRM
CRM-LEAD-.YYYY.-,CRM-LEAD-.YYY.-
CRM-OPP-.YYYY.-,Crm-up -.yyyy.-
CUST-.YYYY.-,Cust-.yyyy.-
CWIP Account,Conta CWIP
Calculate Based On,Calcular baseado em
Calculate Depreciation,Calcular a depreciação
Calculate Estimated Arrival Times,Calcule os tempos estimados de chegada
Calculate Product Bundle Price based on Child Items' Rates,Calcule o preço do pacote de produtos com base nas taxas de itens infantis
Calculate daily depreciation using total days in depreciation period,Calcule a depreciação diária usando dias totais no período de depreciação
Calculated Bank Statement balance,Saldo do extrato bancário calculado
Calculations,Cálculos
Calendar Event,Evento do calendário
Calibration,Calibração
Call Again,Ligue novamente
Call Connected,Chamada conectada
Call Details,Detalhes da chamada
Call Duration in seconds,Duração de chamada em segundos
Call Ended,A chamada acabou
Call Handling Schedule,Cronograma de manuseio de chamadas
Call Log,Log de chamada
Call Missed,Ligue para perdido
Call Received By,Ligue recebido por
Call Receiving Device,Dispositivo de recebimento de chamada
Call Routing,Chamada de roteamento
Call Schedule Row {0}: To time slot should always be ahead of From time slot.,Linha de chamada Linha {0}: O slot de tempo deve estar sempre à frente do slot do tempo.
Call Summary,Ligue para o resumo
Call Summary Saved,Ligue para o resumo salvo
Call Type,Tipo de chamada
Callback,Ligar de volta
Campaign,Campanha
Campaign Efficiency,Eficiência da campanha
Campaign Email Schedule,Cronograma de e-mail da campanha
Campaign Item,Item de campanha
Campaign Name,Nome da campanha
Campaign Naming By,Campanha nomeando por
Campaign Schedules,Horários de campanha
Can be approved by {0},Pode ser aprovado por {0}
Can not close Work Order. Since {0} Job Cards are in Work In Progress state.,Não pode fechar a ordem de serviço. Como {0} cartões de trabalho estão em andamento em andamento.
"Can not filter based on Cashier, if grouped by Cashier","Não pode filtrar com base no caixa, se agrupado por caixa"
"Can not filter based on Child Account, if grouped by Account","Não pode filtrar com base na conta infantil, se agrupada por conta"
"Can not filter based on Customer, if grouped by Customer","Não pode filtrar com base no cliente, se agrupado pelo cliente"
"Can not filter based on POS Profile, if grouped by POS Profile","Não pode filtrar com base no perfil de POS, se agrupado pelo perfil de POS"
"Can not filter based on Payment Method, if grouped by Payment Method","Não pode filtrar com base no método de pagamento, se agrupado por método de pagamento"
"Can not filter based on Voucher No, if grouped by Voucher","Não pode filtrar com base no voucher não, se agrupado por voucher"
Can only make payment against unbilled {0},Só pode efetuar pagamento contra {0}
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',Pode consultar a linha apenas se o tipo de cobrança estiver 'no valor da linha anterior' ou 'total de linha anterior'
"Can't change the valuation method, as there are transactions against some items which do not have its own valuation method","Não é possível alterar o método de avaliação, pois existem transações contra alguns itens que não têm seu próprio método de avaliação"
Cancel,Cancelar
Cancel At End Of Period,Cancelar no final do período
Cancel Material Visit {0} before cancelling this Warranty Claim,Cancelar o material visite {0} antes de cancelar esta reivindicação de garantia
Cancel Material Visits {0} before cancelling this Maintenance Visit,Cancelar visitas ao material {0} antes de cancelar esta visita de manutenção
Cancel Subscription,Cancelar assinatura
Cancel Subscription After Grace Period,Cancelar assinatura após o período de carência
Cancelation Date,Data de cancelamento
Canceled,Cancelado
Cancelled,Cancelado
Cannot Calculate Arrival Time as Driver Address is Missing.,"Não é possível calcular o tempo de chegada, pois o endereço do driver está ausente."
Cannot Create Return,Não pode criar retorno
Cannot Merge,Não pode se fundir
Cannot Optimize Route as Driver Address is Missing.,Não é possível otimizar a rota como falta de endereço do driver.
Cannot Relieve Employee,Não pode aliviar o funcionário
Cannot Resubmit Ledger entries for vouchers in Closed fiscal year.,Não pode reenviar entradas do livro para comprovantes no ano fiscal fechado.
"Cannot amend {0} {1}, please create a new one instead.","Não é possível alterar {0} {1}, crie um novo."
Cannot apply TDS against multiple parties in one entry,Não pode aplicar TDs contra várias partes em uma entrada
Cannot be a fixed asset item as Stock Ledger is created.,"Não pode ser um item de ativo fixo, pois o livro de ações é criado."
Cannot cancel as processing of cancelled documents is pending.,Não é possível cancelar como o processamento de documentos cancelados está pendente.
Cannot cancel because submitted Stock Entry {0} exists,Não é possível cancelar porque a entrada de stock enviada {0} existe
Cannot cancel the transaction. Reposting of item valuation on submission is not completed yet.,Não pode cancelar a transação. A reposição da avaliação de itens no envio ainda não foi concluída.
Cannot cancel this document as it is linked with the submitted asset {asset_link}. Please cancel the asset to continue.,"Não é possível cancelar este documento, pois ele está vinculado ao ativo enviado {Asset_link}. Cancele o ativo para continuar."
Cannot cancel transaction for Completed Work Order.,Não é possível cancelar a transação para a ordem de serviço concluída.
Cannot change Attributes after stock transaction. Make a new Item and transfer stock to the new Item,Não é possível alterar atributos após a transação de stock. Faça um novo item e transfira o stock para o novo item
Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,Não pode mudar a data de início do ano fiscal e o final do ano fiscal quando o ano fiscal for salvo.
Cannot change Reference Document Type.,Não é possível alterar o tipo de documento de referência.
Cannot change Service Stop Date for item in row {0},Não é possível alterar a data de parada do serviço para o item na linha {0}
Cannot change Variant properties after stock transaction. You will have to make a new Item to do this.,Não é possível alterar as propriedades da variante após a transação de stock. Você terá que fazer um novo item para fazer isso.
"Cannot change company's default currency, because there are existing transactions. Transactions must be cancelled to change the default currency.","Não é possível alterar a moeda padrão da empresa, porque existem transações existentes. As transações devem ser canceladas para alterar a moeda padrão."
Cannot complete task {0} as its dependant task {1} are not completed / cancelled.,Não é possível concluir a tarefa {0} como sua tarefa dependente {1} não é concluída / cancelada.
Cannot convert Cost Center to ledger as it has child nodes,"Não é possível converter o centro de custo em Ledger, pois possui nós filhos"
Cannot convert Task to non-group because the following child Tasks exist: {0}.,Não é possível converter tarefa em não grupo porque existem as seguintes tarefas da criança: {0}.
Cannot convert to Group because Account Type is selected.,Não é possível converter em grupo porque o tipo de conta é selecionado.
Cannot covert to Group because Account Type is selected.,Não é possível encobrir o grupo porque o tipo de conta é selecionado.
Cannot create Stock Reservation Entries for future dated Purchase Receipts.,Não é possível criar entradas de reserva de stock para futuros recibos de compra com datadas.
Cannot create a pick list for Sales Order {0} because it has reserved stock. Please unreserve the stock in order to create a pick list.,"Não é possível criar uma lista de escolhas para a ordem de vendas {0} porque possui stock reservado. Por favor, não avalie o stock para criar uma lista de escolhas."
Cannot create accounting entries against disabled accounts: {0},Não é possível criar entradas contábeis contra contas desativadas: {0}
Cannot create return for consolidated invoice {0}.,Não é possível criar retorno para a fatura consolidada {0}.
Cannot deactivate or cancel BOM as it is linked with other BOMs,"Não pode desativar ou cancelar o BOM, pois está vinculado a outros BOMs"
"Cannot declare as lost, because Quotation has been made.","Não pode declarar como perdido, porque a citação foi feita."
Cannot deduct when category is for 'Valuation' or 'Valuation and Total',Não pode deduzir quando a categoria é para 'avaliação' ou 'avaliação e total'
Cannot delete Exchange Gain/Loss row,Não é possível excluir a linha de ganho/perda de troca
"Cannot delete Serial No {0}, as it is used in stock transactions","Não é possível excluir o número serial {0}, pois é usado em transações de stock"
Cannot enqueue multi docs for one company. {0} is already queued/running for company: {1},Não é possível envolver multi -documentos para uma empresa. {0} já está na fila/em execução para a empresa: {1}
Cannot ensure delivery by Serial No as Item {0} is added with and without Ensure Delivery by Serial No.,Não é possível garantir a entrega por serial não como o item {0} é adicionado com e sem garantir a entrega por número de série nº
Cannot find Item with this Barcode,Não consigo encontrar o item com este código de barras
Cannot find a default warehouse for item {0}. Please set one in the Item Master or in Stock Settings.,Não é possível encontrar um armazém padrão para o item {0}. Defina um no mestre do item ou nas configurações de stock.
Cannot make any transactions until the deletion job is completed,Não pode fazer transações até que o trabalho de exclusão seja concluído
"Cannot overbill for Item {0} in row {1} more than {2}. To allow over-billing, please set allowance in Accounts Settings","Não é possível exagerar no item {0} na linha {1} mais que {2}. Para permitir o excesso de faturamento, defina o subsídio nas configurações de contas"
Cannot produce more Item {0} than Sales Order quantity {1},Não é possível produzir mais item {0} do que a quantidade de pedidos de vendas {1}
Cannot produce more item for {0},Não é possível produzir mais item para {0}
Cannot produce more than {0} items for {1},Não é possível produzir mais do que {0} itens para {1}
Cannot receive from customer against negative outstanding,Não pode receber do cliente contra negativo em circulação
Cannot refer row number greater than or equal to current row number for this Charge type,Não pode consultar o número da linha maior ou igual ao número da linha atual para este tipo de carga
Cannot retrieve link token for update. Check Error Log for more information,Não é possível recuperar o token de link para atualização. Verifique o log de erros para obter mais informações
Cannot retrieve link token. Check Error Log for more information,Não é possível recuperar o token de link. Verifique o log de erros para obter mais informações
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,Não é possível selecionar o tipo de cobrança como 'no valor da linha anterior' ou 'no total de linha anterior' para a primeira linha
Cannot set as Lost as Sales Order is made.,Não pode ser definido tão perdido quanto a ordem de vendas.
Cannot set authorization on basis of Discount for {0},Não é possível definir a autorização com base no desconto para {0}
Cannot set multiple Item Defaults for a company.,Não é possível definir vários padrões de itens para uma empresa.
Cannot set quantity less than delivered quantity,Não pode definir quantidade menor que a quantidade entregue
Cannot set quantity less than received quantity,Não pode definir quantidade menor que a quantidade recebida
Cannot set the field <b>{0}</b> for copying in variants,Não é possível definir o campo <b> {0} </b> para copiar em variantes
Cannot {0} from {1} without any negative outstanding invoice,Não é possível {0} de {1} sem qualquer fatura pendente negativa
Canonical URI,Uri canônico
Capacity,Capacidade
Capacity (Stock UOM),Capacidade (Stock UOM)
Capacity Planning,Planejamento de capacidade
"Capacity Planning Error, planned start time can not be same as end time","Erro de planejamento de capacidade, o horário de início planejado não pode ser o mesmo que o horário de término"
Capacity Planning For (Days),Planejamento de capacidade para (dias)
Capacity in Stock UOM,Capacidade em stock uom
Capacity must be greater than 0,A capacidade deve ser maior que 0
Capital Equipment,Equipamento de capital
Capital Stock,Capital social
Capital Work In Progress Account,Conta de trabalho de capital em andamento
Capital Work in Progress,Trabalho de capital em andamento
Capitalization Method,Método de capitalização
Capitalize Asset,Capitalizar ativo
Capitalize Repair Cost,Capitalize o custo de reparo
Capitalized,Capitalizado
Carrier,Operadora
Carrier Service,Serviço de transportadora
Carry Forward Communication and Comments,Leve a comunicação e comentários para a frente
Cash,Dinheiro
Cash Entry,Entrada em dinheiro
Cash Flow,Fluxo de caixa
Cash Flow Statement,Declaração de fluxo de caixa
Cash Flow from Financing,Fluxo de caixa do financiamento
Cash Flow from Investing,Fluxo de caixa do investimento
Cash Flow from Operations,Fluxo de caixa das operações
Cash In Hand,Dinheiro na mão
Cash or Bank Account is mandatory for making payment entry,Dinheiro ou conta bancária é obrigatória para fazer a entrada de pagamento
Cash/Bank Account,Caixa/conta bancária
Cashier,Caixa
Cashier Closing,Fechamento de caixa
Cashier Closing Payments,Pagamentos de fechamento de caixa
Catalog,Catálogo
