source,pt_PT
At least one warehouse is mandatory,Pelo menos um armazém é obrigatório
"At row #{0}: the Difference Account must not be a Stock type account, please change the Account Type for the account {1} or select a different account","Na linha #{0}: a conta de diferença não deve ser uma conta do tipo Stock, altere o tipo de conta da conta {1} ou selecione uma conta diferente"
At row #{0}: the sequence id {1} cannot be less than previous row sequence id {2},Na linha #{0}: o ID de sequência {1} não pode ser menor que o ID de sequência da linha anterior {2}
"At row #{0}: you have selected the Difference Account {1}, which is a Cost of Goods Sold type account. Please select a different account","Na linha #{0}: você selecionou a conta de diferença {1}, que é uma conta do tipo Custo dos produtos vendidos. Selecione uma conta diferente"
At row {0}: Batch No is mandatory for Item {1},Na linha {0}: o número do lote é obrigatório para o item {1}
At row {0}: Parent Row No cannot be set for item {1},Na linha {0}: o número da linha pai não pode ser definido para o item {1}
At row {0}: Qty is mandatory for the batch {1},Na linha {0}: a quantidade é obrigatória para o lote {1}
At row {0}: Serial No is mandatory for Item {1},Na linha {0}: o número de série é obrigatório para o item {1}
At row {0}: Serial and Batch Bundle {1} has already created. Please remove the values from the serial no or batch no fields.,Na linha {0}: Pacote serial e em lote {1} já foi criado. Remova os valores dos campos nº de série ou nº de lote.
At row {0}: set Parent Row No for item {1},Na linha {0}: defina o número da linha pai para o item {1}
Atleast one raw material for Finished Good Item {0} should be customer provided.,Pelo menos uma matéria-prima para o item de produto acabado {0} deve ser fornecida pelo cliente.
Attach CSV File,Anexar arquivo CSV
"Attach a comma separated .csv file with two columns, one for the old name and one for the new name.","Anexe um arquivo .csv separado por vírgulas com duas colunas, uma para o nome antigo e outra para o novo nome."
Attach custom Chart of Accounts file,Anexar arquivo de plano de contas personalizado
Attachments,Anexos
Attendance & Leaves,Presença e licenças
Attendance Device ID (Biometric/RF tag ID),ID do dispositivo de atendimento (ID da etiqueta biométrica/RF)
Attribute,Atributo
Attribute Name,Nome do Atributo
Attribute Value,Valor do Atributo
Attribute value: {0} must appear only once,Valor do atributo: {0} deve aparecer apenas uma vez
Auditor,Auditor
Authorised By,Autorizado por
Authorized Value,Valor Autorizado
Auto Create Assets on Purchase,Criação automática de ativos na compra
Auto Create Exchange Rate Revaluation,Criação automática de reavaliação de taxa de câmbio
Auto Create Purchase Receipt,Criar recibo de compra automaticamente
Auto Create Serial and Batch Bundle For Outward,Criação automática de pacote serial e em lote para exterior
Auto Create Subcontracting Order,Criar automaticamente pedido de subcontratação
Auto Created,Criado automaticamente
Auto Created (Reorder),Criado automaticamente (reordenar)
Auto Created Serial and Batch Bundle,Pacote serial e em lote criado automaticamente
Auto Creation of Contact,Criação automática de contato
Auto Fetch,Busca automática
Auto Fetch Serial Numbers,Busca automática de números de série
Auto Insert Item Price If Missing,Inserir automaticamente o preço do item se estiver faltando
Auto Material Request,Solicitação de material automático
Auto Opt In (For all customers),Ativação automática (para todos os clientes)
Auto Reconcile,Reconciliação automática
Auto Reconcile Payments,Reconciliação automática de pagamentos
Auto Reconciliation,Reconciliação automática
Auto Reconciliation Job Trigger,Acionador de trabalho de reconciliação automática
Auto Reconciliation has started in the background,A reconciliação automática começou em segundo plano
Auto Reconciliation of Payments has been disabled. Enable it through {0},A reconciliação automática de pagamentos foi desativada. Ative-o por meio de {0}
Auto Repeat,Repetição automática
Auto Repeat Detail,Detalhe de repetição automática
Auto Reserve Serial and Batch Nos,Números de série e lote de reserva automática
Auto Reserve Stock,Estoque de reserva automática
Auto Reserve Stock for Sales Order on Purchase,Estoque de reserva automática para ordem de vendas na compra
Auto Tax Settings Error,Erro nas configurações de imposto automático
Auto User Creation Error,Erro de criação automática de usuário
Auto close Opportunity Replied after the no. of days mentioned above,Oportunidade de fechamento automático respondida após o não. de dias mencionados acima
Auto match and set the Party in Bank Transactions,Combine automaticamente e defina a parte nas transações bancárias
Auto re-order,Reordenar automaticamente
Auto write off precision loss while consolidation,Baixa automática de perda de precisão durante a consolidação
Automatically Add Filtered Item To Cart,Adicionar item filtrado automaticamente ao carrinho
Automatically Add Taxes and Charges from Item Tax Template,Adicionar automaticamente impostos e encargos do modelo de imposto de item
Automatically Add Taxes from Taxes and Charges Template,Adicionar impostos automaticamente a partir do modelo de impostos e cobranças
Automatically Create New Batch,Criar novo lote automaticamente
Automatically Fetch Payment Terms from Order/Quotation,Buscar automaticamente as condições de pagamento do pedido/cotação
Automatically Process Deferred Accounting Entry,Processar automaticamente lançamento contábil diferido
Automatically post balancing accounting entry,Lançar lançamento contábil de balanceamento automaticamente
Availability Of Slots,Disponibilidade de slots
Available / Future Inventory,Inventário Disponível/Futuro
Available Batch Qty at From Warehouse,Quantidade de lote disponível no armazém
Available Batch Qty at Warehouse,Quantidade de lote disponível no armazém
Available Batch Report,Relatório de lote disponível
Available Qty,Quantidade disponível
Available Qty For Consumption,Quantidade disponível para consumo
Available Qty at Company,Quantidade disponível na empresa
Available Qty at Source Warehouse,Quantidade disponível no armazém de origem
Available Qty at Target Warehouse,Quantidade disponível no Target Warehouse
Available Qty at WIP Warehouse,Quantidade disponível no armazém WIP
Available Qty at Warehouse,Quantidade disponível no armazém
Available Qty to Reserve,Quantidade disponível para reserva
Available Quantity,Quantidade disponível
Available Serial No,Número de série disponível
Available for Use Date,Data disponível para uso
Average Commission Rate,Taxa média de comissão
Average Completion,Conclusão média
Average Discount,Desconto Médio
Average Response Time,Tempo Médio de Resposta
Average time taken by the supplier to deliver,Tempo médio que o fornecedor leva para entregar
Avg Rate,Taxa média
Avg Rate (Balance Stock),Taxa média (estoque de saldo)
B+,B+
B-,B-
BFS,BFS
BIN Qty,Quantidade do BIN
BOM 1,Lista técnica 1
BOM 2,Lista técnica 2
BOM Configuration,Configuração da lista de materiais
BOM Created,BOM criada
BOM Creator,BOM Creator
BOM Creator Item,Item do criador da BOM
BOM Detail No,Detalhe da BOM Não
BOM Explorer,BOM Explorer
BOM Explosion Item,Item de explosão de BOM
BOM ID,BOM ID
BOM Info,BOM Info
BOM Item,BOM Item
BOM Level,BOM Level
BOM No,BOM No
BOM No (For Semi-Finished Goods),BOM Não (para produtos semiacabados)
BOM No. for a Finished Good Item,Nº da lista técnica para um item de produto acabado
BOM Secondary Item,Item secundário da lista técnica
BOM Secondary Item Reference,Referência de item secundário da BOM
BOM Stock Analysis,Análise de estoque de BOM
BOM Tree,Árvore BOM
BOM Update Batch,Lote de atualização de BOM
BOM Update Initiated,Atualização da BOM iniciada
BOM Update Log,Registro de atualização da lista de materiais
BOM Update Tool Log with job status maintained,Log da ferramenta de atualização da BOM com status do trabalho mantido
BOM Updation already in progress. Please wait until {0} is complete.,Atualização da BOM já em andamento. Aguarde até que {0} seja concluído.
BOM Updation is queued and may take a few minutes. Check {0} for progress.,A atualização da BOM está na fila e pode levar alguns minutos. Verifique {0} para ver o progresso.
BOM and Finished Good Quantity is mandatory for Disassembly,BOM e quantidade de produto acabado são obrigatórias para desmontagem
BOM and Production,BOM e produção
BOM does not contain any stock item,BOM não contém nenhum item de estoque
BOM recursion: {0} cannot be child of {1},Recursão da BOM: {0} não pode ser filho de {1}
BOM recursion: {1} cannot be parent or child of {0},Recursão da BOM: {1} não pode ser pai ou filho de {0}
BOM {0} not found for the item {1},BOM {0} não encontrada para o item {1}
BOMs Updated,Listas de materiais atualizadas
BOMs created successfully,BOMs criadas com sucesso
BOMs creation failed,Falha na criação de BOMs
"BOMs creation has been enqueued, kindly check the status after some time",A criação de BOMs foi enfileirada. Verifique o status após algum tempo
BUDGET-.########,ORÇAMENTO-.########
Backflush Materials From WIP Warehouse,Backflush de materiais do armazém WIP
Backflush Raw Materials,Backflush de matérias-primas
Backflush Raw Materials Based On,Backflush de matérias-primas com base em
Backflush Raw Materials From Work-in-Progress Warehouse,Backflush de matérias-primas do armazém de trabalho em andamento
Backflush Raw Materials of Subcontract Based On,Backflush de matérias-primas de subcontrato com base em
Balance (Dr - Cr),Saldo (Dr - Cr)
Balance In Account Currency,Saldo na moeda da conta
Balance In Base Currency,Saldo na moeda base
Balance Qty,Quantidade de saldo
Balance Qty (Stock),Quantidade de saldo (estoque)
Balance Serial No,Número de série da balança
Balance Sheet Closing Balance,Balanço Patrimonial Saldo Final
Balance Sheet Summary,Resumo do Balanço
Balance Stock Qty,Quantidade de estoque de saldo
Balance Stock Value,Valor do estoque de equilíbrio
Balance Type,Tipo de saldo
Balance must be,O equilíbrio deve ser
Bank / Cash Account,Conta bancária/dinheiro
Bank A/C No.,Banco A/C Não.
Bank Account Details,Detalhes da conta bancária
Bank Account Info,Informações da conta bancária
Bank Account No,Conta Bancária Não
Bank Account Type,Tipo de conta bancária
Bank Account {} in Bank Transaction {} is not matching with Bank Account {},A conta bancária {} na transação bancária {} não corresponde à conta bancária {}
Bank Balance,Saldo Bancário
Bank Charges,Encargos Bancários
Bank Charges Account,Conta de encargos bancários
Bank Credit Balance,Saldo de crédito bancário
Bank Entry,Entrada Bancária
Bank Guarantee Number,Número da Garantia Bancária
Bank Guarantee Type,Tipo de Garantia Bancária
Bank Name,Nome do banco
Bank Reconciliation Tool,Ferramenta de reconciliação bancária
Bank Statement Import,Importação de extrato bancário
Bank Statement balance as per General Ledger,Saldo do extrato bancário de acordo com o Razão Geral
Bank Transaction {0} Matched,Transação bancária {0} correspondida
Bank Transaction {0} added as Journal Entry,Transação bancária {0} adicionada como lançamento contábil manual
Bank Transaction {0} added as Payment Entry,Transação bancária {0} adicionada como entrada de pagamento
Bank Transaction {0} is already fully reconciled,A transação bancária {0} já está totalmente reconciliada
Bank Transaction {0} updated,Transação bancária {0} atualizada
Bank/Cash Account,Conta bancária/dinheiro
Bank/Cash Account {0} doesn't belong to company {1},A conta bancária/dinheiro {0} não pertence à empresa {1}
Barcode,Código de barras
Barcode Type,Tipo de código de barras
Barcode {0} already used in Item {1},Código de barras {0} já utilizado no item {1}
Barcodes,Códigos de barras
Base Amount,Valor base
Base Amount (Company Currency),Valor Base (Moeda da Empresa)
Base Change Amount (Company Currency),Valor de alteração base (moeda da empresa)
Base Cost (Company Currency),Custo Base (Moeda da Empresa)
Base Cost Per Unit,Custo Base por Unidade
Base Hour Rate(Company Currency),Taxa horária base (moeda da empresa)
Base Rate,Taxa básica
Base Tax Withheld,Imposto Base Retido
Base Taxable Amount,Valor base tributável
Base Total Billable Amount,Valor base total faturável
Base Total Billed Amount,Valor base total faturado
Base Total Costing Amount,Valor base do custo total
Based On,Baseado em
Based On Payment Terms,Com base nas condições de pagamento
Based On Price List,Com base na lista de preços
Based On Value,Baseado no valor
"Based on your HR Policy, select your leave allocation period's end date","Com base na sua Política de RH, selecione a data de término do período de alocação de licenças"
"Based on your HR Policy, select your leave allocation period's start date","Com base na sua Política de RH, selecione a data de início do período de alocação de licenças"
Basic Amount,Valor Básico
Basic Rate (Company Currency),Taxa Básica (Moeda da Empresa)
Basic Rate (as per Stock UOM),Taxa Básica (conforme UOM de Estoque)
Batch Description,Descrição do lote
Batch Details,Detalhes do lote
Batch Expiry Date,Data de validade do lote
Batch ID,ID do lote
Batch Item Expiry Status,Status de expiração do item em lote
Batch No,Lote Não
Batch No is mandatory,O número do lote é obrigatório
Batch No {0} does not exists,Lote nº {0} não existe
Batch No {0} is linked with Item {1} which has serial no. Please scan serial no instead.,"O lote nº {0} está vinculado ao item {1} que possui o número de série. Em vez disso, digitalize o número de série."
"Batch No {0} is not present in the original {1} {2}, hence you can't return it against the {1} {2}","O lote nº {0} não está presente no {1} {2} original, portanto, você não pode devolvê-lo ao {1} {2}"
Batch No.,Lote nº.
Batch Nos,Números de lote
Batch Nos are created successfully,Os números de lote foram criados com sucesso
Batch Not Available for Return,Lote não disponível para devolução
Batch Number Series,Série de números de lote
Batch Qty,Quantidade do lote
Batch Qty updated successfully,Quantidade do lote atualizada com sucesso
Batch Qty updated to {0},Quantidade do lote atualizada para {0}
Batch Quantity,Quantidade do lote
Batch Size,Tamanho do lote
Batch UOM,Unidade de medida do lote
Batch and Serial No,Lote e número de série
Batch not created for item {} since it does not have a batch series.,Lote não criado para o item {} porque ele não possui uma série de lotes.
Batch {0} and Warehouse,Lote {0} e Armazém
Batch {0} is not available in warehouse {1},O lote {0} não está disponível no armazém {1}
Batch {0} of Item {1} has expired.,O lote {0} do item {1} expirou.
Batch {0} of Item {1} is disabled.,O lote {0} do item {1} está desativado.
Batchwise Valuation,Avaliação em lote
Before reconciliation,Antes da reconciliação
Begin On (Days),Começar em (dias)
Beginning of the current subscription period,Início do período de assinatura atual
Below Subscription Plans are of different currency to the party default billing currency/Company currency: {0},Os Planos de Assinatura abaixo têm moedas diferentes da moeda de faturamento padrão da parte/moeda da Empresa: {0}
Bill No,Projeto de lei não
Bill for Rejected Quantity in Purchase Invoice,Cobrança por quantidade rejeitada na fatura de compra
Billed Amt,Valor faturado
Billed Items To Be Received,Itens faturados a serem recebidos
"Billed, Received & Returned","Faturado, recebido e devolvido"
Billing Address,Endereço de Cobrança
Billing Address Details,Detalhes do endereço de cobrança
Billing Address Name,Nome do endereço de cobrança
Billing Address does not belong to the {0},O endereço de cobrança não pertence a {0}
Billing City,Cidade de cobrança
Billing Country,País de cobrança
Billing County,Condado de cobrança
Billing Currency,Moeda de cobrança
Billing Details,Detalhes de cobrança
Billing Email,E-mail de cobrança
Billing Interval,Intervalo de cobrança
Billing Interval Count,Contagem de intervalo de cobrança
Billing Interval in Subscription Plan must be Month to follow calendar months,O intervalo de cobrança no plano de assinatura deve ser o mês seguinte aos meses corridos
Billing Rate,Taxa de faturamento
Billing State,Estado de cobrança
Billing Status,Status de faturamento
Billing Zipcode,CEP de cobrança
Billing currency must be equal to either default company's currency or party account currency,A moeda de cobrança deve ser igual à moeda padrão da empresa ou à moeda da conta do terceiro
Bin Qty Recalculated,Quantidade do compartimento recalculada
Bio / Cover Letter,Biografia / Carta de Apresentação
Bisect Accounting Statements,Bissectar Demonstrações Contábeis
Bisect Left,Bissectar à Esquerda
Bisect Nodes,Bissetar nós
Bisect Right,Bissectar à Direita
Bisecting From,Dividindo de
Bisecting Left ...,Bisectando à Esquerda...
Bisecting Right ...,Dividindo à Direita...
Bisecting To,Dividindo para
Biweekly,Quinzenal
Blank Line,Linha em branco
Blanket Order Allowance (%),Provisão para pedidos gerais (%)
Blanket Order Item,Item de pedido geral
Blanket Order Rate,Taxa de pedido geral
Block Supplier,Fornecedor de blocos
Blog Subscriber,Assinante do blog
Blood Group,Grupo sanguíneo
Blue,Azul
Body,Corpo
Body Text,Corpo do texto
Body and Closing Text Help,Ajuda para corpo e texto de fechamento
Bold Text,Texto em negrito
"Bold text for emphasis (totals, major headings)","Texto em negrito para ênfase (totais, títulos principais)"
Book Advance Payments as Liability option is chosen. Paid From account changed from {0} to {1}.,A opção Reservar pagamentos antecipados como responsabilidade é escolhida. Pago da conta alterado de {0} para {1}.
Book Advance Payments in Separate Party Account,Reservar pagamentos antecipados em conta separada
Book Asset Depreciation Entry Automatically,Registrar entrada de depreciação de ativos automaticamente
Book Deferred Entries Based On,Reservar entradas diferidas com base em
Book Deferred Entries Via Journal Entry,Registrar lançamentos diferidos por meio de lançamento contábil manual
Book Tax Loss on Early Payment Discount,Registrar prejuízo fiscal com desconto por pagamento antecipado
Book an appointment,Marque uma consulta
Booked Fixed Asset,Ativo Fixo Reservado
Books have been closed till the period ending on {0},Os livros foram fechados até o período que termina em {0}
Both,Ambos
Both Payable Account: {0} and Advance Account: {1} must be of same currency for company: {2},Tanto a Conta a Pagar: {0} quanto a Conta Antecipada: {1} devem ter a mesma moeda para a empresa: {2}
Both Receivable Account: {0} and Advance Account: {1} must be of same currency for company: {2},Tanto a Conta a Receber: {0} quanto a Conta Antecipada: {1} devem ter a mesma moeda para a empresa: {2}
Both {0} Account: {1} and Advance Account: {2} must be of same currency for company: {3},Tanto a {0} Conta: {1} quanto a Conta Antecipada: {2} devem ter a mesma moeda para a empresa: {3}
Branch Code,Código da filial
Brand,Marca
Brand Defaults,Padrões de marca
Brand Name,Marca
Breakdown,Discriminação
Bucket Size,Tamanho do balde
Budget Amount,Valor do orçamento
Budget Amount can not be {0}.,O valor do orçamento não pode ser {0}.
Budget Detail,Detalhe do orçamento
Budget Distribution,Distribuição Orçamentária
Budget Distribution Total,Total de distribuição orçamentária
Budget End Date,Data de término do orçamento
Budget Exceeded,Orçamento excedido
Budget Limit Exceeded,Limite de orçamento excedido
Budget Start Date,Data de início do orçamento
Buffer Time,Tempo de buffer
Buffered Cursor,Cursor em buffer
Build All?,Construir tudo?
Build Tree,Construir árvore
Buildable Qty,Quantidade edificável
Bulk Rename Jobs,Renomear trabalhos em massa
Bulk Transaction,Transação em massa
Bulk Transaction Log,Log de transações em massa
Bulk Transaction Log Detail,Detalhe do log de transações em massa
Bundle Items,Itens do pacote
Bundle Qty,Quantidade do pacote
Busy,Ocupado
Buyer of Goods and Services.,Comprador de bens e serviços.
Buying & Selling Settings,Configurações de compra e venda
Buying and Selling,Compra e Venda
"Buying must be checked, if Applicable For is selected as {0}",A compra deve ser marcada se Aplicável a estiver selecionado como {0}
"By default, the Supplier Name is set as per the Supplier Name entered. If you want Suppliers to be named by a <a href='https://docs.erpnext.com/docs/user/manual/en/setting-up/settings/naming-series' target='_blank'>Naming Series</a> choose the 'Naming Series' option.","Por padrão, o Nome do Fornecedor é definido de acordo com o Nome do Fornecedor inserido. Se você deseja que os fornecedores sejam nomeados por uma <a href='https://docs.erpnext.com/docs/user/manual/en/setting-up/settings/naming-series' target='_blank'>Série de nomenclatura</a>, escolha a opção 'Série de nomenclatura'."
By-Product,Subproduto
Bypass Credit Limit Check at Sales Order,Ignorar verificação de limite de crédito na ordem de vendas
Bypass credit check at Sales Order,Ignorar verificação de crédito na ordem de vendas
CANCELLED,CANCELADO
CBAL-.#####,CBAL-.######
CC,CC
CC To,CC para
CODE-39,CÓDIGO-39
COGS By Item Group,CPV por grupo de itens
COGS Debit,Débito CPV
CRM,CRM
CRM Note,Nota de CRM
CRM Settings,Configurações de CRM
CRM-LEAD-.YYYY.-,CRM-LEAD-.AAAA.-
CRM-OPP-.YYYY.-,CRM-OPP-.AAAA.-
CUST-.YYYY.-,PERSONALIZADO-.AAAA.-
Calculate Ageing With,Calcule o envelhecimento com
Calculate Based On,Calcular com base em
Calculate Depreciation,Calcular depreciação
Calculate Estimated Arrival Times,Calcular tempos estimados de chegada
Calculate Product Bundle Price based on Child Items' Rates,Calcule o preço do pacote de produtos com base nas taxas dos itens secundários
Calculate but don't show on final report,"Calcular, mas não mostrar no relatório final"
Calculate daily depreciation using total days in depreciation period,Calcule a depreciação diária usando o total de dias no período de depreciação
Calculated Amount,Valor calculado
Calculations,Cálculos
Calendar Event,Evento do calendário
Calibration,Calibração
Call Again,Ligue novamente
Call Details,Detalhes da chamada
Call Duration in seconds,Duração da chamada em segundos
Call Ended,Chamada encerrada
Call Handling Schedule,Cronograma de tratamento de chamadas
Call Received By,Chamada recebida por
Call Receiving Device,Dispositivo de recepção de chamadas
Call Routing,Roteamento de chamadas
Call Schedule Row {0}: To time slot should always be ahead of From time slot.,Linha de agendamento de chamada {0}: O intervalo de tempo de destino deve estar sempre à frente do intervalo de tempo de origem.
Call Summary Saved,Resumo de chamada salvo
Call Type,Tipo de chamada
Callback,Ligar de volta
Campaign,Campanha
Campaign Email Schedule,Cronograma de e-mail da campanha
Campaign Item,Item de campanha
Campaign Name,Nome da campanha
Campaign Naming By,Nomeação de campanha por
Campaign Schedules,Cronogramas de campanha
Campaign {0} not found,Campanha {0} não encontrada
Can not close Work Order. Since {0} Job Cards are in Work In Progress state.,Não é possível fechar a Ordem de Serviço. Como {0} os cartões de trabalho estão no estado Trabalho em andamento.
"Can not filter based on Child Account, if grouped by Account","Não é possível filtrar com base na conta infantil, se agrupada por conta"
"Can not filter based on POS Profile, if grouped by POS Profile","Não é possível filtrar com base no perfil POS, se agrupado por perfil POS"
"Can not filter based on Voucher No, if grouped by Voucher","Não é possível filtrar com base no número do voucher, se agrupado por voucher"
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',Pode consultar a linha somente se o tipo de cobrança for 'Valor da linha anterior' ou 'Total da linha anterior'
"Can't change the valuation method, as there are transactions against some items which do not have its own valuation method","Não é possível alterar o método de avaliação, pois existem transações em alguns itens que não possuem método de avaliação próprio"
Cancel At End Of Period,Cancelar no final do período
Cancel Material Visits {0} before cancelling this Maintenance Visit,Cancelar visitas de materiais {0} antes de cancelar esta visita de manutenção
Cancel Subscription After Grace Period,Cancelar assinatura após período de carência
Cancelation Date,Data de cancelamento
Cancelled,Cancelado
Cannot Assign Cashier,Não é possível atribuir caixa
Cannot Calculate Arrival Time as Driver Address is Missing.,Não é possível calcular a hora de chegada porque o endereço do motorista está ausente.
Cannot Change Inventory Account Setting,Não é possível alterar a configuração da conta de inventário
Cannot Create Return,Não é possível criar devolução
Cannot Merge,Não é possível mesclar
Cannot Optimize Route as Driver Address is Missing.,Não é possível otimizar a rota porque o endereço do driver está ausente.
Cannot Resubmit Ledger entries for vouchers in Closed fiscal year.,Não é possível reenviar entradas do razão para vouchers no ano fiscal encerrado.
Cannot add child table {0} to deletion list. Child tables are automatically deleted with their parent DocTypes.,Não é possível adicionar a tabela filha {0} à lista de exclusão. As tabelas filhas são excluídas automaticamente com seus DocTypes pai.
"Cannot amend {0} {1}, please create a new one instead.","Não é possível alterar {0} {1}. Em vez disso, crie um novo."
Cannot apply TDS against multiple parties in one entry,Não é possível aplicar TDS a várias partes em uma entrada
Cannot be a fixed asset item as Stock Ledger is created.,Não pode ser um item de ativo fixo porque o razão de estoque é criado.
Cannot cancel Asset Depreciation Schedule {0} as it has a draft journal entry {1}.,Não é possível cancelar o Cronograma de depreciação de ativos {0} porque ele possui um lançamento contábil preliminar {1}.
Cannot cancel POS Closing Entry,Não é possível cancelar a entrada de fechamento do POS
"Cannot cancel Stock Reservation Entry {0}, as it has used in the work order {1}. Please cancel the work order first or unreserved the stock","Não é possível cancelar a entrada de reserva de estoque {0}, pois foi utilizada na ordem de serviço {1}. Por favor, cancele a ordem de serviço primeiro ou cancele a reserva do estoque"
Cannot cancel as processing of cancelled documents is pending.,Não é possível cancelar porque o processamento dos documentos cancelados está pendente.
Cannot cancel because submitted Stock Entry {0} exists,Não é possível cancelar porque existe a entrada de estoque enviada {0}
Cannot cancel the transaction. Reposting of item valuation on submission is not completed yet.,Não é possível cancelar a transação. A repostagem da avaliação do item no envio ainda não foi concluída.
Cannot cancel this Manufacturing Stock Entry as quantity of Finished Good produced cannot be less than quantity delivered in the linked Subcontracting Inward Order.,Não é possível cancelar esta entrada de estoque de fabricação porque a quantidade de produto acabado produzido não pode ser inferior à quantidade entregue no pedido de entrada de subcontratação vinculado.
Cannot cancel this document as it is linked with the submitted Asset Value Adjustment <b>{0}</b>. Please cancel the Asset Value Adjustment to continue.,Não é possível cancelar este documento porque ele está vinculado ao ajuste de valor do ativo enviado <b>{0}</b>. Cancele o ajuste do valor patrimonial para continuar.
Cannot cancel this document as it is linked with the submitted asset {asset_link}. Please cancel the asset to continue.,Não é possível cancelar este documento porque ele está vinculado ao ativo enviado {asset_link}. Cancele o ativo para continuar.
Cannot change Reference Document Type.,Não é possível alterar o tipo de documento de referência.
Cannot change Service Stop Date for item in row {0},Não é possível alterar a data de interrupção do serviço para o item na linha {0}
Cannot change Variant properties after stock transaction. You will have to make a new Item to do this.,Não é possível alterar as propriedades da variante após a transação de estoque. Você terá que criar um novo item para fazer isso.
Cannot complete task {0} as its dependant task {1} are not completed / cancelled.,Não é possível concluir a tarefa {0} porque sua tarefa dependente {1} não foi concluída/cancelada.
Cannot convert Cost Center to ledger as it has child nodes,Não é possível converter o centro de custo em razão porque ele possui nós filhos
Cannot convert Task to non-group because the following child Tasks exist: {0}.,Não é possível converter Tarefa em não-grupo porque existem as seguintes Tarefas filhas: {0}.
Cannot convert to Group because Account Type is selected.,Não é possível converter para Grupo porque o Tipo de Conta está selecionado.
Cannot covert to Group because Account Type is selected.,Não é possível converter para Grupo porque o Tipo de Conta está selecionado.
Cannot create Stock Reservation Entries for future dated Purchase Receipts.,Não é possível criar entradas de reserva de estoque para recibos de compra com datas futuras.
Cannot create a pick list for Sales Order {0} because it has reserved stock. Please unreserve the stock in order to create a pick list.,Não é possível criar uma lista de seleção para a ordem de vendas {0} porque ela possui estoque reservado. Cancele a reserva do estoque para criar uma lista de seleção.
Cannot create accounting entries against disabled accounts: {0},Não é possível criar lançamentos contábeis em contas desativadas: {0}
Cannot create return for consolidated invoice {0}.,Não é possível criar devolução para fatura consolidada {0}.
Cannot deactivate or cancel BOM as it is linked with other BOMs,"Não é possível desativar ou cancelar a BOM, pois ela está vinculada a outras BOMs"
"Cannot declare as lost, because Quotation has been made.","Não é possível declarar como perdido, pois a cotação foi feita."
Cannot deduct when category is for 'Valuation' or 'Valuation and Total',Não é possível deduzir quando a categoria é para 'Avaliação' ou 'Avaliação e Total'
Cannot delete Exchange Gain/Loss row,Não é possível excluir a linha de ganhos/perdas cambiais
Cannot delete an item which has been ordered,Não é possível excluir um item que foi pedido
Cannot delete protected core DocType: {0},Não é possível excluir DocType principal protegido: {0}
Cannot delete virtual DocType: {0}. Virtual DocTypes do not have database tables.,Não é possível excluir DocType virtual: {0}. DocTypes virtuais não possuem tabelas de banco de dados.
"Cannot disable Serial and Batch No for Item, as there are existing records for serial / batch.","Não é possível desabilitar o número de série e lote do item, pois já existem registros de série/lote."
"Cannot disable perpetual inventory, as there are existing Stock Ledger Entries for the company {0}. Please cancel the stock transactions first and try again.","Não é possível desativar o estoque permanente, pois já existem entradas do razão de estoque para a empresa {0}. Cancele primeiro as transações de ações e tente novamente."
Cannot disable {0} as it may lead to incorrect stock valuation.,"Não é possível desativar {0}, pois isso pode levar a uma avaliação incorreta do estoque."
Cannot disassemble more than produced quantity.,Não é possível desmontar mais do que a quantidade produzida.
Cannot disassemble {0} qty against Stock Entry {1}. Only {2} qty available to disassemble.,Não é possível desmontar {0} quantidade em relação à entrada de estoque {1}. Apenas {2} quantidade disponível para desmontagem.
"Cannot enable Item-wise Inventory Account, as there are existing Stock Ledger Entries for the company {0} with Warehouse-wise Inventory Account. Please cancel the stock transactions first and try again.","Não é possível ativar a conta de estoque por item, pois existem entradas do razão de estoque para a empresa {0} com conta de estoque por armazém. Cancele primeiro as transações de ações e tente novamente."
Cannot ensure delivery by Serial No as Item {0} is added with and without Ensure Delivery by Serial No.,"Não é possível garantir a entrega pelo número de série, pois o item {0} é adicionado com e sem Garantir a entrega pelo número de série."
Cannot fetch selected rows for submitted Payment Request,Não é possível buscar as linhas selecionadas para a solicitação de pagamento enviada
Cannot find Item or Warehouse with this Barcode,Não é possível encontrar Item ou Armazém com este Código de Barras
Cannot find Item with this Barcode,Não foi possível encontrar o item com este código de barras
Cannot find a default warehouse for item {0}. Please set one in the Item Master or in Stock Settings.,"Não é possível localizar um armazém padrão para o item {0}. Por favor, defina um no Item Master ou nas Configurações de Estoque."
Cannot merge {0} '{1}' into '{2}' as both have existing accounting entries in different currencies for company '{3}'.,Não é possível mesclar {0} '{1}' em '{2}' porque ambos possuem lançamentos contábeis existentes em moedas diferentes para a empresa '{3}'.
Cannot produce more Item {0} than Sales Order quantity {1} {2},Não é possível produzir mais Item {0} do que a quantidade da Ordem de vendas {1} {2}
Cannot produce more item for {0},Não é possível produzir mais itens para {0}
Cannot produce more than {0} items for {1},Não é possível produzir mais de {0} itens para {1}
Cannot receive from customer against negative outstanding,Não é possível receber do cliente contra saldo negativo
Cannot reduce quantity than ordered or purchased quantity,Não é possível reduzir a quantidade além da quantidade solicitada ou comprada
Cannot refer row number greater than or equal to current row number for this Charge type,Não é possível referir o número da linha maior ou igual ao número da linha atual para este tipo de cobrança
Cannot retrieve link token for update. Check Error Log for more information,Não é possível recuperar o token do link para atualização. Verifique o log de erros para obter mais informações
